"","Gene","start","end","gene_length","Module","PercentageBeneficial","PercentageDeleterious","PercentageNeutral","PercentageBackground"
"1","g201",2e+05,201000,1000,"Neutral",0,0,1,0
"2","g202",201000,202000,1000,"Neutral",0,0,1,0
"3","g203",202000,203000,1000,"Neutral",0,0,1,0
"4","g204",203000,204000,1000,"Neutral",0,0,1,0
"5","g205",204000,205000,1000,"Neutral",0,0,1,0
"6","g206",205000,206000,1000,"Neutral",0,0,1,0
"7","g207",206000,207000,1000,"Neutral",0,0,1,0
"8","g208",207000,208000,1000,"Neutral",0,0,1,0
"9","g209",208000,209000,1000,"Neutral",0,0,1,0
"10","g210",209000,210000,1000,"Neutral",0,0,1,0
"11","g211",210000,211000,1000,"Neutral",0,0,1,0
"12","g212",211000,212000,1000,"Neutral",0,0,1,0
"13","g213",212000,213000,1000,"Neutral",0,0,1,0
"14","g214",213000,214000,1000,"Neutral",0,0,1,0
"15","g215",214000,215000,1000,"Neutral",0,0,1,0
"16","g216",215000,216000,1000,"Neutral",0,0,1,0
"17","g217",216000,217000,1000,"Neutral",0,0,1,0
"18","g218",217000,218000,1000,"Neutral",0,0,1,0
"19","g219",218000,219000,1000,"Neutral",0,0,1,0
"20","g220",219000,220000,1000,"Neutral",0,0,1,0
"21","g221",220000,221000,1000,"Neutral",0,0,1,0
"22","g222",221000,222000,1000,"Neutral",0,0,1,0
"23","g223",222000,223000,1000,"Neutral",0,0,1,0
"24","g224",223000,224000,1000,"Neutral",0,0,1,0
"25","g225",224000,225000,1000,"Neutral",0,0,1,0
"26","g226",225000,226000,1000,"Neutral",0,0,1,0
"27","g227",226000,227000,1000,"Neutral",0,0,1,0
"28","g228",227000,228000,1000,"Neutral",0,0,1,0
"29","g229",228000,229000,1000,"Neutral",0,0,1,0
"30","g230",229000,230000,1000,"Neutral",0,0,1,0
"31","g231",230000,231000,1000,"Neutral",0,0,1,0
"32","g232",231000,232000,1000,"Neutral",0,0,1,0
"33","g233",232000,233000,1000,"Neutral",0,0,1,0
"34","g234",233000,234000,1000,"Neutral",0,0,1,0
"35","g235",234000,235000,1000,"Neutral",0,0,1,0
"36","g236",235000,236000,1000,"Neutral",0,0,1,0
"37","g237",236000,237000,1000,"Neutral",0,0,1,0
"38","g238",237000,238000,1000,"Neutral",0,0,1,0
"39","g239",238000,239000,1000,"Neutral",0,0,1,0
"40","g240",239000,240000,1000,"Neutral",0,0,1,0
"41","g241",240000,241000,1000,"Neutral",0,0,1,0
"42","g242",241000,242000,1000,"Neutral",0,0,1,0
"43","g243",242000,243000,1000,"Neutral",0,0,1,0
"44","g244",243000,244000,1000,"Neutral",0,0,1,0
"45","g245",244000,245000,1000,"Neutral",0,0,1,0
"46","g246",245000,246000,1000,"Neutral",0,0,1,0
"47","g247",246000,247000,1000,"Neutral",0,0,1,0
"48","g248",247000,248000,1000,"Neutral",0,0,1,0
"49","g249",248000,249000,1000,"Neutral",0,0,1,0
"50","g250",249000,250000,1000,"Neutral",0,0,1,0
"51","g251",250000,251000,1000,"Neutral",0,0,1,0
"52","g252",251000,252000,1000,"Neutral",0,0,1,0
"53","g253",252000,253000,1000,"Neutral",0,0,1,0
"54","g254",253000,254000,1000,"Neutral",0,0,1,0
"55","g255",254000,255000,1000,"Neutral",0,0,1,0
"56","g256",255000,256000,1000,"Neutral",0,0,1,0
"57","g257",256000,257000,1000,"Neutral",0,0,1,0
"58","g258",257000,258000,1000,"Neutral",0,0,1,0
"59","g259",258000,259000,1000,"Neutral",0,0,1,0
"60","g260",259000,260000,1000,"Neutral",0,0,1,0
"61","g261",260000,261000,1000,"Neutral",0,0,1,0
"62","g262",261000,262000,1000,"Neutral",0,0,1,0
"63","g263",262000,263000,1000,"Neutral",0,0,1,0
"64","g264",263000,264000,1000,"Neutral",0,0,1,0
"65","g265",264000,265000,1000,"Neutral",0,0,1,0
