"","Gene","start","end","gene_length","Module","PercentageBeneficial","PercentageDeleterious","PercentageNeutral","PercentageBackground"
"1","g1",0,1000,1000,"Positive",0.1,0,0,0.9
"2","g2",1000,2000,1000,"Positive",0.1,0,0,0.9
"3","g3",2000,3000,1000,"Positive",0.1,0,0,0.9
"4","g4",3000,4000,1000,"Positive",0.1,0,0,0.9
"5","g5",4000,5000,1000,"Positive",0.1,0,0,0.9
"6","g6",5000,6000,1000,"Positive",0.1,0,0,0.9
"7","g7",6000,7000,1000,"Positive",0.1,0,0,0.9
"8","g8",7000,8000,1000,"Positive",0.1,0,0,0.9
"9","g9",8000,9000,1000,"Positive",0.1,0,0,0.9
"10","g10",9000,10000,1000,"Positive",0.1,0,0,0.9
"11","g11",10000,11000,1000,"Positive",0.1,0,0,0.9
"12","g12",11000,12000,1000,"Positive",0.1,0,0,0.9
"13","g13",12000,13000,1000,"Positive",0.1,0,0,0.9
"14","g14",13000,14000,1000,"Positive",0.1,0,0,0.9
"15","g15",14000,15000,1000,"Positive",0.1,0,0,0.9
"16","g16",15000,16000,1000,"Positive",0.1,0,0,0.9
"17","g17",16000,17000,1000,"Positive",0.1,0,0,0.9
"18","g18",17000,18000,1000,"Positive",0.1,0,0,0.9
"19","g19",18000,19000,1000,"Positive",0.1,0,0,0.9
"20","g20",19000,20000,1000,"Positive",0.1,0,0,0.9
"21","g21",20000,21000,1000,"Positive",0.1,0,0,0.9
"22","g22",21000,22000,1000,"Positive",0.1,0,0,0.9
"23","g23",22000,23000,1000,"Positive",0.1,0,0,0.9
"24","g24",23000,24000,1000,"Positive",0.1,0,0,0.9
"25","g25",24000,25000,1000,"Positive",0.1,0,0,0.9
"26","g26",25000,26000,1000,"Positive",0.1,0,0,0.9
"27","g27",26000,27000,1000,"Positive",0.1,0,0,0.9
"28","g28",27000,28000,1000,"Positive",0.1,0,0,0.9
"29","g29",28000,29000,1000,"Positive",0.1,0,0,0.9
"30","g30",29000,30000,1000,"Positive",0.1,0,0,0.9
"31","g31",30000,31000,1000,"Positive",0.1,0,0,0.9
"32","g32",31000,32000,1000,"Positive",0.1,0,0,0.9
"33","g33",32000,33000,1000,"Positive",0.1,0,0,0.9
"34","g34",33000,34000,1000,"Positive",0.1,0,0,0.9
"35","g35",34000,35000,1000,"Positive",0.1,0,0,0.9
"36","g36",35000,36000,1000,"Positive",0.1,0,0,0.9
"37","g37",36000,37000,1000,"Positive",0.1,0,0,0.9
"38","g38",37000,38000,1000,"Positive",0.1,0,0,0.9
"39","g39",38000,39000,1000,"Positive",0.1,0,0,0.9
"40","g40",39000,40000,1000,"Positive",0.1,0,0,0.9
"41","g41",40000,41000,1000,"Positive",0.1,0,0,0.9
"42","g42",41000,42000,1000,"Positive",0.1,0,0,0.9
"43","g43",42000,43000,1000,"Positive",0.1,0,0,0.9
"44","g44",43000,44000,1000,"Positive",0.1,0,0,0.9
"45","g45",44000,45000,1000,"Positive",0.1,0,0,0.9
"46","g46",45000,46000,1000,"Positive",0.1,0,0,0.9
"47","g47",46000,47000,1000,"Positive",0.1,0,0,0.9
"48","g48",47000,48000,1000,"Positive",0.1,0,0,0.9
"49","g49",48000,49000,1000,"Positive",0.1,0,0,0.9
"50","g50",49000,50000,1000,"Positive",0.1,0,0,0.9
"51","g51",50000,51000,1000,"Positive",0.1,0,0,0.9
"52","g52",51000,52000,1000,"Positive",0.1,0,0,0.9
"53","g53",52000,53000,1000,"Positive",0.1,0,0,0.9
"54","g54",53000,54000,1000,"Positive",0.1,0,0,0.9
"55","g55",54000,55000,1000,"Positive",0.1,0,0,0.9
"56","g56",55000,56000,1000,"Positive",0.1,0,0,0.9
"57","g57",56000,57000,1000,"Positive",0.1,0,0,0.9
"58","g58",57000,58000,1000,"Positive",0.1,0,0,0.9
"59","g59",58000,59000,1000,"Positive",0.1,0,0,0.9
"60","g60",59000,60000,1000,"Positive",0.1,0,0,0.9
"61","g61",60000,61000,1000,"Positive",0.1,0,0,0.9
"62","g62",61000,62000,1000,"Positive",0.1,0,0,0.9
"63","g63",62000,63000,1000,"Positive",0.1,0,0,0.9
"64","g64",63000,64000,1000,"Positive",0.1,0,0,0.9
"65","g65",64000,65000,1000,"Positive",0.1,0,0,0.9
"66","g66",65000,66000,1000,"Positive",0.1,0,0,0.9
"67","g67",66000,67000,1000,"Positive",0.1,0,0,0.9
"68","g68",67000,68000,1000,"Positive",0.1,0,0,0.9
"69","g69",68000,69000,1000,"Positive",0.1,0,0,0.9
"70","g70",69000,70000,1000,"Positive",0.1,0,0,0.9
"71","g71",70000,71000,1000,"Positive",0.1,0,0,0.9
"72","g72",71000,72000,1000,"Positive",0.1,0,0,0.9
"73","g73",72000,73000,1000,"Positive",0.1,0,0,0.9
"74","g74",73000,74000,1000,"Positive",0.1,0,0,0.9
"75","g75",74000,75000,1000,"Positive",0.1,0,0,0.9
"76","g76",75000,76000,1000,"Positive",0.1,0,0,0.9
"77","g77",76000,77000,1000,"Positive",0.1,0,0,0.9
"78","g78",77000,78000,1000,"Positive",0.1,0,0,0.9
"79","g79",78000,79000,1000,"Positive",0.1,0,0,0.9
"80","g80",79000,80000,1000,"Positive",0.1,0,0,0.9
"81","g81",80000,81000,1000,"Positive",0.1,0,0,0.9
"82","g82",81000,82000,1000,"Positive",0.1,0,0,0.9
"83","g83",82000,83000,1000,"Positive",0.1,0,0,0.9
"84","g84",83000,84000,1000,"Positive",0.1,0,0,0.9
"85","g85",84000,85000,1000,"Positive",0.1,0,0,0.9
"86","g86",85000,86000,1000,"Positive",0.1,0,0,0.9
"87","g87",86000,87000,1000,"Positive",0.1,0,0,0.9
"88","g88",87000,88000,1000,"Positive",0.1,0,0,0.9
"89","g89",88000,89000,1000,"Positive",0.1,0,0,0.9
"90","g90",89000,90000,1000,"Positive",0.1,0,0,0.9
"91","g91",90000,91000,1000,"Positive",0.1,0,0,0.9
"92","g92",91000,92000,1000,"Positive",0.1,0,0,0.9
"93","g93",92000,93000,1000,"Positive",0.1,0,0,0.9
"94","g94",93000,94000,1000,"Positive",0.1,0,0,0.9
"95","g95",94000,95000,1000,"Positive",0.1,0,0,0.9
"96","g96",95000,96000,1000,"Positive",0.1,0,0,0.9
"97","g97",96000,97000,1000,"Positive",0.1,0,0,0.9
"98","g98",97000,98000,1000,"Positive",0.1,0,0,0.9
"99","g99",98000,99000,1000,"Positive",0.1,0,0,0.9
"100","g100",99000,1e+05,1000,"Positive",0.1,0,0,0.9
