"","Gene","start","end","gene_length","Module","PercentageBeneficial","PercentageDeleterious","PercentageNeutral","PercentageBackground"
"1","g101",1e+05,101000,1000,"Purifying",0,0.4,0,0.6
"2","g102",101000,102000,1000,"Purifying",0,0.4,0,0.6
"3","g103",102000,103000,1000,"Purifying",0,0.4,0,0.6
"4","g104",103000,104000,1000,"Purifying",0,0.4,0,0.6
"5","g105",104000,105000,1000,"Purifying",0,0.4,0,0.6
"6","g106",105000,106000,1000,"Purifying",0,0.4,0,0.6
"7","g107",106000,107000,1000,"Purifying",0,0.4,0,0.6
"8","g108",107000,108000,1000,"Purifying",0,0.4,0,0.6
"9","g109",108000,109000,1000,"Purifying",0,0.4,0,0.6
"10","g110",109000,110000,1000,"Purifying",0,0.4,0,0.6
"11","g111",110000,111000,1000,"Purifying",0,0.4,0,0.6
"12","g112",111000,112000,1000,"Purifying",0,0.4,0,0.6
"13","g113",112000,113000,1000,"Purifying",0,0.4,0,0.6
"14","g114",113000,114000,1000,"Purifying",0,0.4,0,0.6
"15","g115",114000,115000,1000,"Purifying",0,0.4,0,0.6
"16","g116",115000,116000,1000,"Purifying",0,0.4,0,0.6
"17","g117",116000,117000,1000,"Purifying",0,0.4,0,0.6
"18","g118",117000,118000,1000,"Purifying",0,0.4,0,0.6
"19","g119",118000,119000,1000,"Purifying",0,0.4,0,0.6
"20","g120",119000,120000,1000,"Purifying",0,0.4,0,0.6
"21","g121",120000,121000,1000,"Purifying",0,0.4,0,0.6
"22","g122",121000,122000,1000,"Purifying",0,0.4,0,0.6
"23","g123",122000,123000,1000,"Purifying",0,0.4,0,0.6
"24","g124",123000,124000,1000,"Purifying",0,0.4,0,0.6
"25","g125",124000,125000,1000,"Purifying",0,0.4,0,0.6
"26","g126",125000,126000,1000,"Purifying",0,0.4,0,0.6
"27","g127",126000,127000,1000,"Purifying",0,0.4,0,0.6
"28","g128",127000,128000,1000,"Purifying",0,0.4,0,0.6
"29","g129",128000,129000,1000,"Purifying",0,0.4,0,0.6
"30","g130",129000,130000,1000,"Purifying",0,0.4,0,0.6
"31","g131",130000,131000,1000,"Purifying",0,0.4,0,0.6
"32","g132",131000,132000,1000,"Purifying",0,0.4,0,0.6
"33","g133",132000,133000,1000,"Purifying",0,0.4,0,0.6
"34","g134",133000,134000,1000,"Purifying",0,0.4,0,0.6
"35","g135",134000,135000,1000,"Purifying",0,0.4,0,0.6
"36","g136",135000,136000,1000,"Purifying",0,0.4,0,0.6
"37","g137",136000,137000,1000,"Purifying",0,0.4,0,0.6
"38","g138",137000,138000,1000,"Purifying",0,0.4,0,0.6
"39","g139",138000,139000,1000,"Purifying",0,0.4,0,0.6
"40","g140",139000,140000,1000,"Purifying",0,0.4,0,0.6
"41","g141",140000,141000,1000,"Purifying",0,0.4,0,0.6
"42","g142",141000,142000,1000,"Purifying",0,0.4,0,0.6
"43","g143",142000,143000,1000,"Purifying",0,0.4,0,0.6
"44","g144",143000,144000,1000,"Purifying",0,0.4,0,0.6
"45","g145",144000,145000,1000,"Purifying",0,0.4,0,0.6
"46","g146",145000,146000,1000,"Purifying",0,0.4,0,0.6
"47","g147",146000,147000,1000,"Purifying",0,0.4,0,0.6
"48","g148",147000,148000,1000,"Purifying",0,0.4,0,0.6
"49","g149",148000,149000,1000,"Purifying",0,0.4,0,0.6
"50","g150",149000,150000,1000,"Purifying",0,0.4,0,0.6
"51","g151",150000,151000,1000,"Purifying",0,0.4,0,0.6
"52","g152",151000,152000,1000,"Purifying",0,0.4,0,0.6
"53","g153",152000,153000,1000,"Purifying",0,0.4,0,0.6
"54","g154",153000,154000,1000,"Purifying",0,0.4,0,0.6
"55","g155",154000,155000,1000,"Purifying",0,0.4,0,0.6
"56","g156",155000,156000,1000,"Purifying",0,0.4,0,0.6
"57","g157",156000,157000,1000,"Purifying",0,0.4,0,0.6
"58","g158",157000,158000,1000,"Purifying",0,0.4,0,0.6
"59","g159",158000,159000,1000,"Purifying",0,0.4,0,0.6
"60","g160",159000,160000,1000,"Purifying",0,0.4,0,0.6
"61","g161",160000,161000,1000,"Purifying",0,0.4,0,0.6
"62","g162",161000,162000,1000,"Purifying",0,0.4,0,0.6
"63","g163",162000,163000,1000,"Purifying",0,0.4,0,0.6
"64","g164",163000,164000,1000,"Purifying",0,0.4,0,0.6
"65","g165",164000,165000,1000,"Purifying",0,0.4,0,0.6
"66","g166",165000,166000,1000,"Purifying",0,0.4,0,0.6
"67","g167",166000,167000,1000,"Purifying",0,0.4,0,0.6
"68","g168",167000,168000,1000,"Purifying",0,0.4,0,0.6
"69","g169",168000,169000,1000,"Purifying",0,0.4,0,0.6
"70","g170",169000,170000,1000,"Purifying",0,0.4,0,0.6
"71","g171",170000,171000,1000,"Purifying",0,0.4,0,0.6
"72","g172",171000,172000,1000,"Purifying",0,0.4,0,0.6
"73","g173",172000,173000,1000,"Purifying",0,0.4,0,0.6
"74","g174",173000,174000,1000,"Purifying",0,0.4,0,0.6
"75","g175",174000,175000,1000,"Purifying",0,0.4,0,0.6
"76","g176",175000,176000,1000,"Purifying",0,0.4,0,0.6
"77","g177",176000,177000,1000,"Purifying",0,0.4,0,0.6
"78","g178",177000,178000,1000,"Purifying",0,0.4,0,0.6
