Generation,ID,Annotation,Position,Population,t0,prevalence,Gene,allele_freq
200,233291,beneficial,54794,Hypermutator,3,321983,g55,0.321983
100,495622,beneficial,72625,Hypermutator,7,234117,g73,0.234117
100,1049991,background,422861,Hypermutator,14,63326,g423,0.063326
200,1541395,background,2038050,Hypermutator,20,321779,g2039,0.321779
100,1871995,background,1407114,Hypermutator,24,84279,g1408,0.084279
100,2120603,background,3074726,Hypermutator,27,22821,g3075,0.022821
100,2507153,background,1812774,Hypermutator,32,13646,g1813,0.013646
200,2573427,background,761678,Hypermutator,33,26588,g762,0.026588
100,2684376,background,3624786,Hypermutator,34,21459,g3625,0.021459
100,2796730,background,2762492,Hypermutator,35,14470,g2763,0.01447
200,2824730,background,2685265,Hypermutator,36,26588,g2686,0.026588
200,2844212,background,648060,Hypermutator,36,15374,g649,0.015374
200,2867411,background,2626384,Hypermutator,36,26146,g2627,0.026146
100,2941323,background,3757624,Hypermutator,37,21459,g3758,0.021459
200,3041679,background,2134154,Hypermutator,38,10579,g2135,0.010579
200,3074936,background,992752,Hypermutator,39,19868,g993,0.019868
100,3087415,background,2649555,Hypermutator,39,14163,g2650,0.014163
200,3141879,neutral,219837,Hypermutator,40,19276,g220,0.019276
200,3200304,background,1911663,Hypermutator,40,19713,g1912,0.019713
200,3231372,background,3700356,Hypermutator,41,12243,g3701,0.012243
100,3274176,background,919574,Hypermutator,41,11265,g920,0.011265
200,3282057,background,1712429,Hypermutator,41,15464,g1713,0.015464
200,3296879,background,330592,Hypermutator,42,21113,g331,0.021113
200,3298036,background,2486657,Hypermutator,42,21262,g2487,0.021262
200,3317970,background,2022989,Hypermutator,42,12251,g2023,0.012251
200,3508058,background,3014356,Hypermutator,44,23780,g3015,0.02378
200,3544641,background,2952185,Hypermutator,45,12345,g2953,0.012345
200,3713833,background,1360510,Hypermutator,47,30529,g1361,0.030529
200,4058170,background,1463520,Hypermutator,51,12402,g1464,0.012402
200,4755168,background,3557061,Hypermutator,60,24444,g3558,0.024444
200,6383700,background,2500492,Hypermutator,80,321470,g2501,0.32147
300,6404008,background,1013710,Hypermutator,81,11796,g1014,0.011796
300,7564426,beneficial,3123,Hypermutator,95,11796,g4,0.011796
200,7707770,background,2312193,Hypermutator,97,21653,g2313,0.021653
200,7752739,beneficial,55739,Hypermutator,97,321470,g56,0.32147
200,8019498,neutral,228832,Hypermutator,101,321162,g229,0.321162
200,8727887,background,1496830,Hypermutator,110,33224,g1497,0.033224
200,9629836,neutral,279516,Hypermutator,121,12252,g280,0.012252
